model,condition,mean_regret,std_regret,mean_slack,mean_comp_pol,mean_comp_pred,mean_comp_mis,ratio_pol,ratio_pred,ratio_mis,mean_rho
gpt-4o,Baseline,0.29867126984204967,0.16864554454275243,2.0212036869066097,0.5250029251013242,0.6654618291760672,1.1294102024712682,0.2263065617282769,0.28685245609475535,0.48684098217696786,4.3816345359886455
gpt-4o,Targeted,0.14873000000114978,0.10338669056348575,1.9207194964822007,0.5250029251013242,0.6682880196530274,0.8761585517289984,0.2536920693128633,0.32293033523584913,0.4233775954512875,4.566923308147361
gpt-4o,NonTargeted,0.30923966666743646,0.1450409494941559,2.076719759548684,0.5250029251013242,0.690430914587962,1.1705255865268345,0.22003849660340757,0.2893724457347175,0.49058905766187494,4.44898192814044
