condition,mean_regret,mean_comp_pred,mean_comp_mis,mean_comp_pol,ratio_pred,ratio_mis,ratio_pol
Baseline,0.24840000000089982,0.6209018594103166,0.8653745512543637,0.42000234008105913,0.3257140956785144,0.453960130917804,0.22032577340368167
Targeted,0.2164200000010498,0.6031955555579809,0.8569293584404641,0.42000234008105913,0.32082698351889,0.4557826373619642,0.2233903791191459
NonTargeted,0.3264000000007498,0.6267629024949187,1.000478270066234,0.42000234008105913,0.3061496586138922,0.4886952938856782,0.20515504750042948
