condition,mean_regret,mean_comp_pred,mean_comp_mis,mean_comp_pol,ratio_pred,ratio_mis,ratio_pol
Baseline,1.4996892616636617e-12,0.3749999999999999,0.4654933885274446,0.4200023400810592,0.29750199979969216,0.3692939039478664,0.33320409625244146
Targeted,1.4996892616636617e-12,0.5608903571426784,0.5197959842167462,0.4200023400810592,0.37375530586683037,0.3463716296692552,0.27987306446391436
NonTargeted,1.4996892616636617e-12,0.5599609353746428,0.5247114916543911,0.4200023400810592,0.3721474883573108,0.34872086853836326,0.2791316431043259
