condition,mean_regret,mean_comp_pred,mean_comp_mis,mean_comp_pol,ratio_pred,ratio_mis,ratio_pol
Baseline,1.418957142856793,0.510750445956141,2.247695426678264,0.10938714718473122,0.17809629864306126,0.7837609132556881,0.038142788101250706
Targeted,1.5501666666660165,0.5391803779288732,2.44639167742841,0.10938714718473122,0.17421243468606068,0.7904439177805931,0.035343647533346206
NonTargeted,1.3955199999997,0.544127467876197,2.2011867093345527,0.10938714718473122,0.19060749481083555,0.7710742593362834,0.038318245852881065
