condition,mean_regret,mean_comp_pred,mean_comp_mis,mean_comp_pol,ratio_pred,ratio_mis,ratio_pol
Baseline,1.1227772388888555,0.25957249312169295,1.6803981952093852,0.10938714718473122,0.12666040484645785,0.8199632909820459,0.05337630417149635
Targeted,1.1616661111109943,0.2662287626937418,1.7472081586019286,0.10938714718473122,0.12541254202206145,0.8230583893146863,0.051529068663252305
NonTargeted,1.0911954761904261,0.2615428030234124,1.6313847859555612,0.10938714718473122,0.13062022583148447,0.8147494279951116,0.05463034617340397
